N	AnArea	ArtArea	Diff
0	0.406000	0.395000	-0.011000
1	0.404000	0.396111	-0.007889
2	0.381000	0.361389	-0.019611
3	0.383500	0.356944	-0.026556
4	0.356000	0.365000	0.009000
5	0.388000	0.376667	-0.011333
6	0.372000	0.374722	0.002722
7	0.369000	0.363333	-0.005667
8	0.378500	0.351389	-0.027111
9	0.413500	0.408611	-0.004889
10	0.383000	0.359722	-0.023278
11	0.377500	0.363889	-0.013611
12	0.393000	0.375556	-0.017444
13	0.375000	0.367222	-0.007778
14	0.381000	0.362778	-0.018222
15	0.383500	0.389444	0.005944
16	0.383500	0.374444	-0.009056
17	0.383000	0.379167	-0.003833
18	0.361500	0.355000	-0.006500
19	0.361500	0.340556	-0.020944
