N	AnArea	ArtArea	Diff
0	0.505750	0.528611	0.022861
1	0.492250	0.539028	0.046778
2	0.509750	0.545417	0.035667
3	0.504250	0.543333	0.039083
4	0.495500	0.530000	0.034500
5	0.513000	0.530694	0.017694
6	0.499750	0.547222	0.047472
7	0.506000	0.527500	0.021500
8	0.499750	0.520278	0.020528
9	0.498000	0.540694	0.042694
10	0.496250	0.519861	0.023611
11	0.507750	0.532222	0.024472
12	0.504500	0.531111	0.026611
13	0.488500	0.535139	0.046639
14	0.493000	0.535972	0.042972
15	0.488250	0.551667	0.063417
16	0.499000	0.535833	0.036833
17	0.502500	0.560833	0.058333
18	0.499500	0.525417	0.025917
19	0.499750	0.520556	0.020806
