N	AnArea	ArtArea	Diff
0	0.116000	0.093889	-0.022111
1	0.118000	0.096111	-0.021889
2	0.109000	0.092778	-0.016222
3	0.106000	0.102222	-0.003778
4	0.115000	0.098889	-0.016111
5	0.109000	0.097222	-0.011778
6	0.112000	0.100000	-0.012000
7	0.116000	0.090556	-0.025444
8	0.114000	0.092778	-0.021222
9	0.106000	0.092778	-0.013222
10	0.104000	0.093333	-0.010667
11	0.109000	0.092778	-0.016222
12	0.111000	0.099444	-0.011556
13	0.107000	0.096667	-0.010333
14	0.112000	0.097778	-0.014222
15	0.118000	0.098889	-0.019111
16	0.104000	0.096111	-0.007889
17	0.114000	0.092222	-0.021778
18	0.113000	0.095556	-0.017444
19	0.115000	0.090556	-0.024444
