N	AnArea	ArtArea	Diff
0	0.298875	0.280486	-0.018389
1	0.294500	0.274167	-0.020333
2	0.289750	0.276389	-0.013361
3	0.293500	0.277500	-0.016000
4	0.287250	0.282014	-0.005236
5	0.297000	0.276042	-0.020958
6	0.295875	0.279583	-0.016292
7	0.294375	0.277014	-0.017361
8	0.297000	0.264306	-0.032694
9	0.288125	0.276944	-0.011181
10	0.294000	0.273958	-0.020042
11	0.291000	0.271875	-0.019125
12	0.302500	0.280833	-0.021667
13	0.288000	0.281319	-0.006681
14	0.295625	0.280833	-0.014792
15	0.299250	0.279444	-0.019806
16	0.288000	0.277639	-0.010361
17	0.300375	0.270972	-0.029403
18	0.292250	0.277917	-0.014333
19	0.294750	0.268194	-0.026556
