N	AnArea	ArtArea	Diff
0	0.341250	0.360714	0.019464
1	0.342500	0.375238	0.032738
2	0.340625	0.367143	0.026518
3	0.335000	0.357381	0.022381
4	0.326250	0.357381	0.031131
5	0.353750	0.364762	0.011012
6	0.338750	0.369048	0.030298
7	0.359375	0.386667	0.027292
8	0.363750	0.378333	0.014583
9	0.373750	0.352381	-0.021369
10	0.361875	0.375000	0.013125
11	0.389375	0.374762	-0.014613
12	0.365625	0.368571	0.002946
13	0.366250	0.363810	-0.002440
14	0.325000	0.353095	0.028095
15	0.357500	0.382857	0.025357
16	0.361250	0.361905	0.000655
17	0.376250	0.381667	0.005417
18	0.351875	0.355952	0.004077
19	0.366875	0.376667	0.009792
