N	AnArea	ArtArea	Diff
0	0.092500	0.095952	0.003452
1	0.100000	0.097381	-0.002619
2	0.095000	0.097857	0.002857
3	0.086250	0.089286	0.003036
4	0.083750	0.089762	0.006012
5	0.075000	0.094524	0.019524
6	0.078750	0.096429	0.017679
7	0.082500	0.094048	0.011548
8	0.091250	0.097381	0.006131
9	0.080000	0.090238	0.010238
10	0.082500	0.094048	0.011548
11	0.077500	0.098810	0.021310
12	0.085000	0.095000	0.010000
13	0.070000	0.096429	0.026429
14	0.078750	0.096429	0.017679
15	0.085000	0.090714	0.005714
16	0.082500	0.095000	0.012500
17	0.090000	0.092143	0.002143
18	0.077500	0.089762	0.012262
19	0.081250	0.095476	0.014226
