N	AnArea	ArtArea	Diff
0	0.388000	0.385000	-0.003000
1	0.388000	0.388889	0.000889
2	0.371000	0.376944	0.005944
3	0.380500	0.396111	0.015611
4	0.358000	0.362222	0.004222
5	0.374000	0.370000	-0.004000
6	0.393000	0.402778	0.009778
7	0.409500	0.365556	-0.043944
8	0.389500	0.373611	-0.015889
9	0.387500	0.389444	0.001944
10	0.399000	0.387500	-0.011500
11	0.390500	0.387500	-0.003000
12	0.427500	0.378611	-0.048889
13	0.399000	0.392778	-0.006222
14	0.389000	0.381667	-0.007333
15	0.374500	0.389167	0.014667
16	0.373500	0.364444	-0.009056
17	0.377500	0.359444	-0.018056
18	0.383000	0.390556	0.007556
19	0.397500	0.377778	-0.019722
