N	AnArea	ArtArea	Diff
0	0.499000	0.528333	0.029333
1	0.486000	0.540000	0.054000
2	0.485750	0.541944	0.056194
3	0.490500	0.543194	0.052694
4	0.477250	0.547778	0.070528
5	0.490500	0.537500	0.047000
6	0.496000	0.548472	0.052472
7	0.515250	0.515833	0.000583
8	0.495250	0.528611	0.033361
9	0.481750	0.532083	0.050333
10	0.504500	0.528194	0.023694
11	0.487500	0.529861	0.042361
12	0.525250	0.526944	0.001694
13	0.484250	0.528472	0.044222
14	0.499250	0.541250	0.042000
15	0.499000	0.539861	0.040861
16	0.498250	0.534167	0.035917
17	0.519500	0.523750	0.004250
18	0.499250	0.552500	0.053250
19	0.496250	0.532778	0.036528
