N	AnArea	ArtArea	Diff
0	0.116000	0.093889	-0.022111
1	0.101000	0.097222	-0.003778
2	0.114000	0.086111	-0.027889
3	0.100000	0.097222	-0.002778
4	0.101000	0.095000	-0.006000
5	0.094000	0.087222	-0.006778
6	0.114000	0.100556	-0.013444
7	0.102000	0.103333	0.001333
8	0.102000	0.091667	-0.010333
9	0.104000	0.102222	-0.001778
10	0.095000	0.098889	0.003889
11	0.103000	0.090556	-0.012444
12	0.104000	0.105000	0.001000
13	0.109000	0.105000	-0.004000
14	0.101000	0.100556	-0.000444
15	0.106000	0.101667	-0.004333
16	0.110000	0.093333	-0.016667
17	0.105000	0.097222	-0.007778
18	0.104000	0.097778	-0.006222
19	0.105000	0.100000	-0.005000
