N	AnArea	ArtArea	Diff
0	0.296000	0.277222	-0.018778
1	0.289875	0.278194	-0.011681
2	0.292875	0.270694	-0.022181
3	0.284750	0.281389	-0.003361
4	0.289000	0.278681	-0.010319
5	0.290750	0.275694	-0.015056
6	0.299500	0.282917	-0.016583
7	0.290375	0.284722	-0.005653
8	0.284000	0.277986	-0.006014
9	0.285000	0.283056	-0.001944
10	0.296750	0.282500	-0.014250
11	0.294000	0.273264	-0.020736
12	0.293625	0.289444	-0.004181
13	0.288625	0.281667	-0.006958
14	0.289250	0.279306	-0.009944
15	0.294000	0.287361	-0.006639
16	0.295875	0.277292	-0.018583
17	0.297625	0.276667	-0.020958
18	0.294500	0.278611	-0.015889
19	0.290750	0.278750	-0.012000
