N	AnArea	ArtArea	Diff
0	0.294750	0.273958	-0.020792
1	0.302750	0.278056	-0.024694
2	0.297500	0.280139	-0.017361
3	0.297500	0.278750	-0.018750
4	0.292000	0.270556	-0.021444
5	0.297125	0.272500	-0.024625
6	0.290750	0.274167	-0.016583
7	0.300875	0.275417	-0.025458
8	0.287000	0.275833	-0.011167
9	0.298250	0.281111	-0.017139
10	0.301500	0.276111	-0.025389
11	0.297750	0.279375	-0.018375
12	0.303125	0.277500	-0.025625
13	0.294500	0.281528	-0.012972
14	0.292000	0.274583	-0.017417
15	0.299500	0.274653	-0.024847
16	0.289500	0.272639	-0.016861
17	0.299750	0.268611	-0.031139
18	0.300625	0.276042	-0.024583
19	0.292000	0.278958	-0.013042
