N	AnArea	ArtArea	Diff
0	0.297375	0.273333	-0.024042
1	0.293750	0.274028	-0.019722
2	0.300125	0.271250	-0.028875
3	0.296750	0.280000	-0.016750
4	0.293000	0.275694	-0.017306
5	0.293000	0.280556	-0.012444
6	0.295500	0.275972	-0.019528
7	0.294375	0.273819	-0.020556
8	0.292750	0.274444	-0.018306
9	0.287625	0.274444	-0.013181
10	0.285375	0.274028	-0.011347
11	0.291250	0.272083	-0.019167
12	0.296250	0.280833	-0.015417
13	0.289625	0.279653	-0.009972
14	0.296375	0.274722	-0.021653
15	0.294000	0.275347	-0.018653
16	0.294375	0.274167	-0.020208
17	0.295500	0.278472	-0.017028
18	0.289250	0.274306	-0.014944
19	0.294250	0.267639	-0.026611
