N	AnArea	ArtArea	Diff
0	0.278000	0.277500	-0.000500
1	0.284500	0.275069	-0.009431
2	0.283875	0.280069	-0.003806
3	0.285125	0.274167	-0.010958
4	0.296500	0.276250	-0.020250
5	0.289375	0.277083	-0.012292
6	0.286250	0.279097	-0.007153
7	0.273750	0.277708	0.003958
8	0.291500	0.273333	-0.018167
9	0.276250	0.279722	0.003472
10	0.284000	0.277292	-0.006708
11	0.282750	0.282222	-0.000528
12	0.281250	0.276458	-0.004792
13	0.279250	0.282708	0.003458
14	0.294500	0.280278	-0.014222
15	0.287250	0.278750	-0.008500
16	0.296125	0.283889	-0.012236
17	0.286250	0.283403	-0.002847
18	0.285125	0.277222	-0.007903
19	0.286000	0.276806	-0.009194
