N	AnArea	ArtArea	Diff
0	0.285000	0.270972	-0.014028
1	0.299500	0.274722	-0.024778
2	0.290500	0.273125	-0.017375
3	0.284750	0.272500	-0.012250
4	0.294375	0.284583	-0.009792
5	0.294750	0.272917	-0.021833
6	0.289250	0.270972	-0.018278
7	0.298250	0.272361	-0.025889
8	0.284500	0.274306	-0.010194
9	0.302250	0.268889	-0.033361
10	0.291500	0.270139	-0.021361
11	0.295625	0.271042	-0.024583
12	0.294250	0.266806	-0.027444
13	0.298125	0.268542	-0.029583
14	0.295750	0.274375	-0.021375
15	0.296500	0.271667	-0.024833
16	0.294875	0.271181	-0.023694
17	0.299875	0.272083	-0.027792
18	0.300250	0.277083	-0.023167
19	0.291500	0.269167	-0.022333
