N	AnArea	ArtArea	Diff
0	0.281750	0.278194	-0.003556
1	0.278875	0.283958	0.005083
2	0.279500	0.277639	-0.001861
3	0.282750	0.281042	-0.001708
4	0.283875	0.276111	-0.007764
5	0.287250	0.277361	-0.009889
6	0.285000	0.288889	0.003889
7	0.284375	0.284028	-0.000347
8	0.288000	0.280139	-0.007861
9	0.278250	0.283194	0.004944
10	0.296500	0.287986	-0.008514
11	0.277500	0.279028	0.001528
12	0.288750	0.281667	-0.007083
13	0.278125	0.277986	-0.000139
14	0.286000	0.280347	-0.005653
15	0.287500	0.284861	-0.002639
16	0.282000	0.285694	0.003694
17	0.284250	0.281667	-0.002583
18	0.290500	0.284861	-0.005639
19	0.289000	0.285278	-0.003722
