N	AnArea	ArtArea	Diff
0	0.288750	0.281111	-0.007639
1	0.302375	0.282639	-0.019736
2	0.293750	0.285625	-0.008125
3	0.294250	0.283125	-0.011125
4	0.283125	0.277153	-0.005972
5	0.283875	0.279583	-0.004292
6	0.291000	0.283611	-0.007389
7	0.293250	0.280069	-0.013181
8	0.291500	0.281667	-0.009833
9	0.292000	0.284792	-0.007208
10	0.288500	0.283819	-0.004681
11	0.298750	0.284167	-0.014583
12	0.299375	0.284653	-0.014722
13	0.286250	0.280208	-0.006042
14	0.286875	0.279653	-0.007222
15	0.292375	0.284028	-0.008347
16	0.292500	0.277431	-0.015069
17	0.296500	0.281736	-0.014764
18	0.292750	0.280208	-0.012542
19	0.292500	0.277847	-0.014653
