N	AnArea	ArtArea	Diff
0	0.287750	0.277500	-0.010250
1	0.292250	0.272222	-0.020028
2	0.289750	0.271389	-0.018361
3	0.287750	0.279792	-0.007958
4	0.286250	0.276875	-0.009375
5	0.289000	0.277014	-0.011986
6	0.294000	0.270278	-0.023722
7	0.285000	0.275694	-0.009306
8	0.293625	0.276111	-0.017514
9	0.289250	0.270903	-0.018347
10	0.293500	0.277361	-0.016139
11	0.282250	0.272639	-0.009611
12	0.288500	0.279236	-0.009264
13	0.286250	0.281667	-0.004583
14	0.287375	0.268056	-0.019319
15	0.292250	0.282847	-0.009403
16	0.287875	0.271944	-0.015931
17	0.285500	0.282639	-0.002861
18	0.281750	0.283611	0.001861
19	0.282750	0.274375	-0.008375
