N	AnArea	ArtArea	Diff
0	0.292875	0.282639	-0.010236
1	0.300250	0.275556	-0.024694
2	0.303500	0.284583	-0.018917
3	0.297250	0.280556	-0.016694
4	0.292750	0.281667	-0.011083
5	0.298750	0.285556	-0.013194
6	0.301125	0.274167	-0.026958
7	0.306000	0.277778	-0.028222
8	0.302250	0.289444	-0.012806
9	0.300750	0.280694	-0.020056
10	0.298375	0.285000	-0.013375
11	0.298250	0.286667	-0.011583
12	0.304500	0.284722	-0.019778
13	0.306250	0.278542	-0.027708
14	0.297750	0.285486	-0.012264
15	0.310000	0.282708	-0.027292
16	0.296250	0.276042	-0.020208
17	0.302000	0.277778	-0.024222
18	0.300500	0.282361	-0.018139
19	0.304625	0.282778	-0.021847
