N	AnArea	ArtArea	Diff
0	0.297250	0.281806	-0.015444
1	0.292000	0.279236	-0.012764
2	0.292750	0.274236	-0.018514
3	0.293000	0.286736	-0.006264
4	0.299250	0.279931	-0.019319
5	0.295750	0.277778	-0.017972
6	0.295750	0.283472	-0.012278
7	0.291250	0.282778	-0.008472
8	0.295250	0.280903	-0.014347
9	0.293250	0.286250	-0.007000
10	0.297375	0.293889	-0.003486
11	0.296000	0.279861	-0.016139
12	0.301625	0.272222	-0.029403
13	0.301125	0.280278	-0.020847
14	0.294250	0.280972	-0.013278
15	0.303375	0.282778	-0.020597
16	0.293750	0.279167	-0.014583
17	0.295750	0.285903	-0.009847
18	0.291000	0.288056	-0.002944
19	0.293125	0.284028	-0.009097
