N	AnArea	ArtArea	Diff
0	0.285375	0.271944	-0.013431
1	0.290750	0.280764	-0.009986
2	0.295625	0.276736	-0.018889
3	0.295375	0.270069	-0.025306
4	0.290750	0.274861	-0.015889
5	0.289500	0.278056	-0.011444
6	0.293000	0.274028	-0.018972
7	0.297250	0.279375	-0.017875
8	0.295000	0.275972	-0.019028
9	0.297125	0.272639	-0.024486
10	0.296750	0.277083	-0.019667
11	0.289750	0.274167	-0.015583
12	0.292750	0.273125	-0.019625
13	0.297250	0.271250	-0.026000
14	0.294500	0.270069	-0.024431
15	0.300750	0.275556	-0.025194
16	0.299000	0.272500	-0.026500
17	0.290250	0.269306	-0.020944
18	0.281250	0.275208	-0.006042
19	0.289000	0.274028	-0.014972
