N	AnArea	ArtArea	Diff
0	0.481000	0.549167	0.068167
1	0.479500	0.546944	0.067444
2	0.483000	0.562222	0.079222
3	0.485500	0.545972	0.060472
4	0.498750	0.527500	0.028750
5	0.490750	0.550278	0.059528
6	0.495750	0.537222	0.041472
7	0.483750	0.546944	0.063194
8	0.505250	0.539583	0.034333
9	0.492500	0.549306	0.056806
10	0.497250	0.537917	0.040667
11	0.497000	0.548194	0.051194
12	0.457250	0.536528	0.079278
13	0.488500	0.543889	0.055389
14	0.493250	0.563194	0.069944
15	0.512250	0.543472	0.031222
16	0.485750	0.544722	0.058972
17	0.472000	0.535139	0.063139
18	0.471750	0.542083	0.070333
19	0.473500	0.544028	0.070528
