layer	prop_neg	prop_pos	weight_min	weight_max	weight_mean
0	0.471644	0.528356	-0.985368	1.214200	0.027982
1	0.487549	0.512451	-0.926515	2.642143	0.037253
2	0.571108	0.428892	-2.528109	3.265734	-0.038683
0	0.457465	0.542535	-1.057672	1.132737	0.028325
1	0.480713	0.519287	-0.959371	2.988032	0.039548
2	0.559172	0.440828	-2.554822	2.652210	-0.038317
0	0.470341	0.529659	-0.929870	1.275690	0.025607
1	0.488770	0.511230	-1.101562	2.714414	0.039311
2	0.565538	0.434462	-2.665530	2.917039	-0.038128
0	0.463397	0.536603	-0.957329	1.003115	0.028717
1	0.487305	0.512695	-1.156865	2.777202	0.038321
2	0.562283	0.437717	-2.489460	2.823815	-0.035086
0	0.463252	0.536748	-1.039026	1.166378	0.028065
1	0.473877	0.526123	-1.019582	2.635615	0.037468
2	0.565177	0.434823	-2.802725	2.619836	-0.035901
0	0.468678	0.531322	-0.890974	1.213483	0.027883
1	0.471924	0.528076	-0.942873	2.984904	0.037558
2	0.570095	0.429905	-2.323437	2.634582	-0.038513
0	0.463252	0.536748	-0.945723	1.352270	0.028386
1	0.475098	0.524902	-0.918511	2.671040	0.039336
2	0.569010	0.430990	-2.630844	2.965161	-0.037609
0	0.476201	0.523799	-1.155643	1.057055	0.026171
1	0.480713	0.519287	-0.913924	2.646406	0.037112
2	0.569806	0.430194	-3.177993	2.731727	-0.034969
0	0.464482	0.535518	-0.971326	1.017570	0.027642
1	0.489990	0.510010	-0.964192	2.677636	0.036882
2	0.560619	0.439381	-2.655970	3.067969	-0.033902
0	0.471427	0.528573	-0.975711	1.284771	0.026392
1	0.483887	0.516113	-0.965921	2.779075	0.039569
2	0.563657	0.436343	-2.695743	3.117075	-0.035654
0	0.465567	0.534433	-1.141584	1.126652	0.028121
1	0.483398	0.516602	-0.809763	2.934867	0.037917
2	0.567853	0.432147	-2.548594	2.770897	-0.032893
0	0.470052	0.529948	-0.881469	1.148731	0.027133
1	0.487305	0.512451	-0.908371	2.923848	0.038092
2	0.559172	0.440828	-2.578793	2.538082	-0.035976
0	0.469690	0.530310	-1.061776	1.054502	0.027306
1	0.492920	0.507080	-0.979104	2.711034	0.037281
2	0.569444	0.430556	-3.039926	2.919895	-0.033745
0	0.474754	0.525246	-0.989491	1.060727	0.024547
1	0.492432	0.507568	-1.168470	2.796373	0.037112
2	0.570602	0.429398	-2.617233	2.744315	-0.036159
0	0.464988	0.535012	-0.993075	1.233325	0.027551
1	0.480713	0.519287	-0.940793	2.976616	0.039982
2	0.567491	0.432509	-2.411905	2.659763	-0.035859
0	0.468822	0.531178	-1.204774	1.375323	0.026663
1	0.465088	0.534912	-0.893921	2.817740	0.038151
2	0.570530	0.429470	-3.425580	2.910639	-0.038092
0	0.456597	0.543330	-1.255847	1.330706	0.029380
1	0.487549	0.512451	-1.003733	2.866759	0.038330
2	0.567998	0.432002	-2.719055	2.882576	-0.035414
0	0.474754	0.525246	-1.135772	1.099863	0.027345
1	0.485840	0.514160	-0.893967	2.798568	0.037687
2	0.572410	0.427590	-2.558329	2.383282	-0.037722
0	0.470775	0.529225	-0.950137	1.093934	0.028075
1	0.492188	0.507812	-0.938368	2.698363	0.039333
2	0.573785	0.426215	-2.679306	2.803556	-0.037811
0	0.466580	0.533420	-0.950946	1.196928	0.027984
1	0.486816	0.513184	-0.992380	2.736338	0.037073
2	0.565032	0.434968	-2.364892	2.396786	-0.036752
