N	AnArea	ArtArea	Diff
0	0.424000	0.377500	-0.046500
1	0.393000	0.390556	-0.002444
2	0.391000	0.385833	-0.005167
3	0.410500	0.392500	-0.018000
4	0.397000	0.364722	-0.032278
5	0.407000	0.398333	-0.008667
6	0.384000	0.388889	0.004889
7	0.387500	0.392222	0.004722
8	0.389000	0.371944	-0.017056
9	0.404000	0.388611	-0.015389
10	0.379500	0.376667	-0.002833
11	0.386000	0.357778	-0.028222
12	0.388000	0.368333	-0.019667
13	0.393000	0.383333	-0.009667
14	0.367500	0.376111	0.008611
15	0.396000	0.376944	-0.019056
16	0.383500	0.383889	0.000389
17	0.402500	0.387222	-0.015278
18	0.393000	0.372222	-0.020778
19	0.381500	0.382222	0.000722
