N	AnArea	ArtArea	Diff
0	0.533250	0.520417	-0.012833
1	0.505500	0.538056	0.032556
2	0.510250	0.522917	0.012667
3	0.511750	0.539444	0.027694
4	0.509750	0.526806	0.017056
5	0.487000	0.507083	0.020083
6	0.500750	0.521250	0.020500
7	0.514250	0.540972	0.026722
8	0.500250	0.517083	0.016833
9	0.502500	0.541667	0.039167
10	0.502750	0.545417	0.042667
11	0.503750	0.521111	0.017361
12	0.510000	0.529444	0.019444
13	0.503750	0.530139	0.026389
14	0.499750	0.513889	0.014139
15	0.504000	0.526667	0.022667
16	0.510250	0.533472	0.023222
17	0.509500	0.539583	0.030083
18	0.516750	0.521528	0.004778
19	0.519000	0.518194	-0.000806
