N	AnArea	ArtArea	Diff
0	0.291375	0.279722	-0.011653
1	0.292750	0.276319	-0.016431
2	0.291125	0.277431	-0.013694
3	0.294375	0.280278	-0.014097
4	0.299625	0.272153	-0.027472
5	0.298875	0.272847	-0.026028
6	0.296875	0.280278	-0.016597
7	0.304250	0.276042	-0.028208
8	0.285750	0.281528	-0.004222
9	0.306125	0.281250	-0.024875
10	0.300000	0.278403	-0.021597
11	0.301750	0.280000	-0.021750
12	0.301000	0.275833	-0.025167
13	0.300250	0.277639	-0.022611
14	0.290500	0.276389	-0.014111
15	0.298625	0.272847	-0.025778
16	0.288500	0.278472	-0.010028
17	0.296625	0.275694	-0.020931
18	0.301625	0.275069	-0.026556
19	0.293750	0.279167	-0.014583
